Time,LR,BBM,FCE,APC,AT,GH,Total,Difference,Turnout
5/9/2016 17:55,1108160,1273595,382629,456277,64982,56081,3341724,165435,0.074525896
5/9/2016 18:00,1207975,1389971,417711,496630,71047,61427,3644761,181996,0.081284115
5/9/2016 18:15,1213106,1399512,420193,498796,71397,61754,3664758,186406,0.081730081
5/9/2016 18:40,1582250,1798700,551535,655562,92501,75410,4755958,216450,0.106065621
5/9/2016 18:45,4255231,4780307,1519919,1770536,253427,217457,12796877,525076,0.285391231
5/9/2016 18:50,5238385,5839574,1866506,2173168,311377,267915,15696925,601189,0.350067032
5/9/2016 19:00,5850998,6536505,2081343,2460587,346953,301384,17577770,685507,0.392012943
5/9/2016 19:10,6469416,7223906,2301509,2729464,383282,334362,19441939,754490,0.433586953
5/9/2016 19:25,7083749,7886846,2516718,2978344,419542,365483,21250682,803097,0.473924872
5/9/2016 19:39,7533520,8383979,2671881,3165691,445808,388273,22589152,850459,0.503774936
5/9/2016 19:55,8407693,9309951,2970409,3526406,498345,433545,25146349,902258,0.5608046
5/9/2016 20:05,8766707,9687332,3093266,3666142,519565,451665,26184677,920625,0.583961008
5/9/2016 20:25,9193221,10129059,3239276,3843964,545143,47474,26998137,935838,0.602102493
5/9/2016 20:46,9479549,10401640,3334755,3956318,562581,490344,28225187,922091,0.62946771
5/9/2016 21:33,9698760,10595809,3403638,4042460,576150,502494,28819311,897049,0.642717644
5/9/2016 21:40,9771606,10661930,4071720,3427254,581031,506677,29020218,890324,0.647198198
5/9/2016 21:50,9838033,10715468,3448978,4097211,585221,510830,29195741,877435,0.651112647
5/9/2016 21:58,9905912,10769209,3469920,4126063,589503,514927,29375534,863297,0.655122324
5/9/2016 22:06,9991742,10833828,3494110,4160786,594629,520252,29595347,842086,0.660024513
5/9/2016 22:16,10232663,11001468,3568037,4243210,609269,532810,30187457,768805,0.673229532
5/9/2016 22:28,10449449,11161752,3638080,4322401,622008,544521,30738211,712303,0.685512244
5/9/2016 22:41,10632909,11300355,3695791,4388708,634307,554228,31206298,667446,0.695951348
5/9/2016 22:47,10804061,11423632,3735886,4451857,645038,563752,31624226,619571,0.705271824
5/9/2016 23:07,11125918,11656686,3849785,4574711,663758,582041,32452899,530768,0.723752584
5/9/2016 23:27,11431278,11863352,3950492,4685301,682508,599604,33212535,432074,0.740693705
5/9/2016 23:46,11690457,12046991,4039195,4787992,698369,614977,33877981,356534,0.755534237
5/10/2016 0:00,11906917,12205117,4115525,4880088,712374,629768,34449789,298200,0.768286488
5/10/2016 0:20,12082538,12320343,4174708,4945749,723106,639497,34885941,237805,0.778013389
5/10/2016 0:40,12234530,12418933,4227417,5001764,731838,648576,35263058,184403,0.786423713
5/10/2016 1:00,12368578,12516581,4274255,5059431,740447,656759,35616051,148003,0.794296033
5/10/2016 1:20,12476529,12593119,4313992,5102893,747130,663056,35896719,116590,0.800555387
5/10/2016 1:40,12568981,12657800,4343101,5143690,752160,668478,36134210,88819,0.805851824
5/10/2016 2:00,12657990,12717756,4370054,5183070,757012,673440,36359322,59766,0.810872188
5/10/2016 2:20,12723396,12762322,4393308,5210715,760762,677891,36528394,38926,0.81464277
5/10/2016 2:40,12777952,12798960,4412142,5236631,763885,681638,36671208,21008,0.817827755
