Time,VC,VE,VH,VM,VR,VT,Total,PC,PE,PH,PM,PR,PT,Trans,Region,RegName
2016-05-09 17:15:06,55,71,5,212,217,5,565,0.097345133,0.125663717,0.008849558,0.375221239,0.384070796,0.008849558,0.04,0,NCR
2016-05-09 18:45:47,55,71,5,212,217,5,565,0.097345133,0.125663717,0.008849558,0.375221239,0.384070796,0.008849558,0.04,0,NCR
2016-05-09 18:46:30,1478,1274,138,4886,3172,111,11059,0.133646804,0.115200289,0.012478524,0.441812099,0.28682521,0.010037074,0.26,0,NCR
2016-05-09 18:47:11,2645,1879,206,7478,4765,193,17166,0.154083654,0.109460562,0.012000466,0.435628568,0.277583595,0.011243155,0.39,0,NCR
2016-05-09 18:47:38,33487,27300,3442,116254,73383,2821,256687,0.130458496,0.106355211,0.013409327,0.452901783,0.285885144,0.010990038,5.32,0,NCR
2016-05-09 18:48:07,71101,56514,7285,239206,150995,5880,530981,0.13390498,0.106433187,0.013719888,0.450498229,0.284369874,0.011073843,11.15,0,NCR
2016-05-09 18:48:28,77777,61292,7971,259579,163536,6365,576520,0.134907722,0.106313745,0.01382606,0.450251509,0.283660584,0.01104038,12.12,0,NCR
2016-05-09 18:48:54,78174,61737,8020,261688,164651,6403,580673,0.134626545,0.106319736,0.01381156,0.450663282,0.283552016,0.01102686,12.21,0,NCR
2016-05-09 18:49:15,80997,63572,8306,270886,170527,6614,600902,0.134792362,0.105794289,0.013822553,0.450798966,0.283785043,0.011006786,12.63,0,NCR
2016-05-09 18:49:41,105032,83164,10773,354145,224848,8614,786576,0.133530644,0.105729135,0.01369607,0.450236214,0.285856675,0.010951262,16.46,0,NCR
2016-05-09 18:50:18,273903,222291,29555,958726,595805,23256,2103536,0.13021075,0.105674921,0.014050152,0.455768763,0.283239745,0.01105567,44.12,0,NCR
2016-05-09 18:55:40,329304,268073,36067,1160996,722303,28006,2544749,0.129405297,0.105343592,0.014173107,0.456232029,0.283840567,0.011005408,53.31,0,NCR
2016-05-09 19:06:04,372419,303141,41748,1309737,821427,31512,2879984,0.129312871,0.105257876,0.014495914,0.454772318,0.285219293,0.010941727,60.13,0,NCR
2016-05-09 19:16:14,408866,331766,46152,1436428,901220,34481,3158913,0.129432498,0.105025368,0.014610089,0.454722241,0.28529434,0.010915464,65.88,0,NCR
2016-05-09 19:38:16,439796,359201,49728,1554684,977070,37308,3417787,0.128678586,0.105097538,0.014549766,0.454880307,0.285877967,0.010915835,71.3,0,NCR
2016-05-09 19:46:26,464852,380439,52588,1645211,1033171,39548,3615809,0.128560994,0.105215458,0.01454391,0.455004952,0.285737161,0.010937525,75.42,0,NCR
2016-05-09 19:48:51,490495,400733,55105,1732423,1087144,41616,3807516,0.128822834,0.105247883,0.01447269,0.455000846,0.285525786,0.010929961,79.43,0,NCR
2016-05-09 19:56:38,512361,417715,57428,1807214,1134412,43405,3972535,0.12897583,0.105150741,0.01445626,0.454927143,0.285563752,0.010926273,82.93,0,NCR
2016-05-09 20:08:56,531068,432055,59466,1871228,1174195,44930,4112942,0.129121198,0.105047676,0.014458264,0.45496095,0.285487858,0.010924054,85.88,0,NCR
2016-05-09 20:17:13,547105,445041,61275,1927124,1209016,46302,4235863,0.129160221,0.105065013,0.014465765,0.45495428,0.285423773,0.010930948,88.42,0,NCR
2016-05-09 20:27:07,554242,451331,62115,1953672,1225765,46926,4294051,0.129072058,0.105106111,0.014465361,0.454971774,0.285456554,0.010928142,89.61,0,NCR
