Candidate,LowBound,Mean,HighBound,LowChange,MeanChange,HighChange,Time
Robredo,13476082.37,14108142.82,14740203.26,0,0,0,5/9/2016 18:50
Marcos,13644700.89,14230441.55,14816182.21,0,0,0,5/9/2016 18:50
Cayetano,5709892.995,6103575.986,6497258.977,0,0,0,5/9/2016 18:50
Escudero,4360009.708,4591017.544,4822025.38,0,0,0,5/9/2016 18:50
Trillanes,743534.1504,801076.0407,858617.931,0,0,0,5/9/2016 18:50
Honasan,681693.1008,772206.4164,862719.7319,0,0,0,5/9/2016 18:50
Robredo,13858751.07,14080771.85,14302792.62,0.028396139,-0.001940083,-0.029674668,5/9/2016 19:06
Marcos,14106897.46,14320133.39,14533369.32,0.033873705,0.006302815,-0.019088108,5/9/2016 19:06
Cayetano,5949103.039,6094459.512,6239815.984,0.041893963,-0.001493628,-0.039623323,5/9/2016 19:06
Escudero,4567013.995,4646706.984,4726399.974,0.047477942,0.012130087,-0.019830963,5/9/2016 19:06
Trillanes,802804.9561,819935.2608,837065.5656,0.079714974,0.02354236,-0.025101229,5/9/2016 19:06
Honasan,733836.6666,760428.1323,787019.598,0.076491262,-0.015252766,-0.087745917,5/9/2016 19:06
Robredo,13947681.16,14025979.19,14104277.22,0.006416891,-0.00389131,-0.013879485,5/9/2016 19:38
Marcos,14233905.43,14341356.38,14448807.34,0.009003253,0.001482039,-0.005818471,5/9/2016 19:38
Cayetano,6047397.585,6101364.318,6155331.052,0.016522583,0.001132965,-0.013539651,5/9/2016 19:38
Escudero,4630796.531,4676716.742,4722636.954,0.013965917,0.006458285,-0.000796171,5/9/2016 19:38
Trillanes,813984.0181,823577.5201,833171.0222,0.013925004,0.00444213,-0.004652615,5/9/2016 19:38
Honasan,736066.7505,753439.9058,770813.0611,0.003038938,-0.009189858,-0.020592291,5/9/2016 19:38
Robredo,13965636.8,14035965.64,14106294.47,0.001287357,0.000711996,0.000143024,5/9/2016 19:48
Marcos,14227123.92,14325100.4,14423076.88,-0.000476433,-0.001133504,-0.001780801,5/9/2016 19:48
Cayetano,6036165.765,6087001.948,6137838.132,-0.001857298,-0.00235396,-0.002841914,5/9/2016 19:48
Escudero,4653045.709,4694663.32,4736280.93,0.004804612,0.003837431,0.002889059,5/9/2016 19:48
Trillanes,819000.9096,827400.1361,835799.3625,0.006163378,0.004641477,0.003154623,5/9/2016 19:48
Honasan,735590.277,752302.4207,769014.5645,-0.000647324,-0.001509722,-0.002333246,5/9/2016 19:48
Robredo,14003537.48,14054708.76,14105880.04,0.002713852,0.001335364,-2.93789E-05,5/9/2016 20:08
Marcos,14241325.38,14303328.76,14365332.14,0.000998196,-0.001519825,-0.004003635,5/9/2016 20:08
Cayetano,6034464.453,6070918.09,6107371.727,-0.000281853,-0.002642328,-0.004963703,5/9/2016 20:08
Escudero,4685142.116,4711582.314,4738022.511,0.006897935,0.003603878,0.000367711,5/9/2016 20:08
Trillanes,825653.687,831231.4435,836809.2,0.00812304,0.004630538,0.00120823,5/9/2016 20:08
